,date,south,west,north,south campus,south density,west density,north density,south compus density
0,2024-10-12 08:00:33.360117,0.32,0.12,0.05,0.01,21.02068965517241,8.465934065934066,13.6,29.369491525423726
0,2024-10-12 08:10:34.961018,0.32,0.13,0.06,0.01,21.02068965517241,8.656179775280897,13.6,30.399999999999995
0,2024-10-12 08:20:36.593844,0.32,0.13,0.06,0.01,19.878260869565214,11.005714285714285,12.239999999999998,28.099459459459457
0,2024-10-12 08:30:38.417091,0.33,0.13,0.07,0.01,19.878260869565214,11.005714285714285,12.447457627118645,27.075
0,2024-10-12 08:40:40.023361,0.34,0.13,0.07,0.02,19.250526315789475,11.005714285714285,11.298461538461538,29.369491525423726
0,2024-10-12 08:50:41.611448,0.34,0.13,0.09,0.02,14.748387096774193,10.850704225352112,11.657142857142855,25.862686567164175
0,2024-10-12 09:00:43.371941,0.35,0.13,0.09,0.02,15.24,10.850704225352112,12.66206896551724,26.79587628865979
0,2024-10-12 09:10:45.218626,0.36,0.13,0.09,0.02,14.2875,11.005714285714285,15.965217391304344,27.651063829787233
0,2024-10-12 09:20:46.927800,0.35,0.13,0.1,0.02,13.960305343511452,8.283870967741935,16.319999999999997,24.63696682464455
0,2024-10-12 09:30:48.494298,0.35,0.13,0.1,0.02,14.630399999999998,8.373913043478261,16.319999999999997,26.38781725888325
0,2024-10-12 09:40:49.964813,0.35,0.13,0.1,0.02,15.498305084745764,8.465934065934066,12.884210526315789,25.48235294117647
0,2024-10-12 09:50:51.685721,0.36,0.13,0.1,0.02,16.625454545454545,9.51111111111111,10.961194029850745,21.570124481327802
0,2024-10-12 10:00:53.320653,0.36,0.14,0.1,0.03,14.630399999999998,8.024999999999999,10.961194029850745,19.324907063197028
0,2024-10-12 10:10:55.027408,0.36,0.14,0.11,0.03,14.514285714285714,10.136842105263158,12.66206896551724,23.845871559633025
0,2024-10-12 10:20:56.696736,0.36,0.14,0.11,0.03,14.748387096774193,10.136842105263158,14.12307692307692,22.310729613733905
0,2024-10-12 10:30:58.536972,0.36,0.14,0.11,0.04,10.103867403314919,8.754545454545454,10.961194029850745,22.12085106382979
0,2024-10-12 10:41:00.389179,0.36,0.14,0.11,0.04,16.933333333333334,8.855172413793102,11.127272727272725,23.207142857142856
0,2024-10-12 10:51:02.089476,0.37,0.14,0.11,0.04,16.933333333333334,8.195744680851064,13.114285714285714,21.48099173553719
0,2024-10-12 11:01:03.846158,0.37,0.14,0.11,0.05,15.902608695652173,10.553424657534247,12.884210526315789,19.182287822878227
0,2024-10-12 11:11:05.496027,0.37,0.15,0.11,0.06,15.902608695652173,9.395121951219512,14.12307692307692,20.628571428571426
0,2024-10-12 11:21:07.123871,0.37,0.15,0.1,0.07,11.875324675324675,7.267924528301887,14.987755102040817,17.156435643564354
0,2024-10-12 11:31:08.842778,0.37,0.15,0.1,0.09,16.184070796460176,7.199999999999999,14.987755102040817,17.444295302013423
0,2024-10-12 11:41:10.386738,0.37,0.15,0.1,0.08,15.24,7.199999999999999,14.399999999999999,18.43404255319149
0,2024-10-12 11:51:12.118518,0.37,0.16,0.1,0.08,15.368067226890757,8.95813953488372,14.399999999999999,18.368904593639574
0,2024-10-12 12:01:13.957486,0.37,0.16,0.1,0.09,16.625454545454545,9.063529411764705,14.12307692307692,18.972262773722626
0,2024-10-12 12:11:15.664651,0.37,0.16,0.1,0.09,15.498305084745764,6.584615384615385,14.12307692307692,19.469662921348313
0,2024-10-12 12:21:17.260486,0.37,0.16,0.1,0.1,16.933333333333334,6.584615384615385,14.987755102040817,17.987543252595156
0,2024-10-12 12:31:18.855935,0.37,0.17,0.1,0.09,14.99016393442623,6.473949579831933,15.299999999999997,19.765779467680606
0,2024-10-12 12:41:20.493986,0.37,0.17,0.1,0.1,14.99016393442623,7.133333333333333,15.299999999999997,15.564071856287425
0,2024-10-12 12:51:22.093333,0.37,0.17,0.1,0.08,11.016867469879518,8.754545454545454,14.987755102040817,14.852571428571428
0,2024-10-12 13:01:23.702955,0.36,0.18,0.1,0.09,14.2875,9.17142857142857,14.399999999999999,20.877108433734936
0,2024-10-12 13:11:25.411965,0.36,0.18,0.1,0.09,14.399999999999999,11.852307692307694,14.399999999999999,20.30625
0,2024-10-12 13:21:27.024777,0.36,0.18,0.09,0.08,12.031578947368422,9.63,13.352727272727273,19.469662921348313
0,2024-10-12 13:31:28.867248,0.36,0.19,0.09,0.08,16.777981651376148,10.136842105263158,13.856603773584904,20.628571428571426
0,2024-10-12 13:41:30.442819,0.36,0.19,0.09,0.08,15.902608695652173,10.850704225352112,15.965217391304344,19.182287822878227
0,2024-10-12 13:51:32.373828,0.36,0.2,0.09,0.07,17.584615384615383,10.700000000000001,16.319999999999997,21.217959183673468
0,2024-10-12 14:01:33.991921,0.36,0.21,0.1,0.07,17.755339805825244,10.700000000000001,15.965217391304344,18.972262773722626
0,2024-10-12 14:11:35.847932,0.36,0.22,0.1,0.07,19.878260869565214,10.41081081081081,13.856603773584904,21.75062761506276
0,2024-10-12 14:21:37.535448,0.36,0.22,0.1,0.07,12.440816326530612,10.005194805194805,14.12307692307692,20.30625
0,2024-10-12 14:31:39.330315,0.36,0.22,0.1,0.07,11.952941176470588,9.751898734177214,14.987755102040817,20.793599999999998
0,2024-10-12 14:41:41.023187,0.36,0.23,0.1,0.06,10.332203389830509,7.552941176470588,14.687999999999997,19.182287822878227
0,2024-10-12 14:51:42.897616,0.36,0.23,0.1,0.06,9.053465346534653,6.01875,15.299999999999997,22.027118644067794
0,2024-10-12 15:01:44.471078,0.36,0.23,0.11,0.06,9.939130434782607,5.792481203007518,13.352727272727273,21.392592592592592
0,2024-10-12 15:11:46.086335,0.35,0.23,0.11,0.05,16.933333333333334,8.283870967741935,14.399999999999999,21.046153846153846
0,2024-10-12 15:32:48.527534,0.34,0.23,0.11,0.04,16.32857142857143,8.195744680851064,13.6,20.628571428571426
0,2024-10-12 15:42:50.166337,0.35,0.23,0.12,0.04,17.755339805825244,9.281927710843373,13.114285714285714,22.503896103896103
0,2024-10-12 15:52:51.635435,0.35,0.23,0.12,0.03,15.368067226890757,9.876923076923077,14.399999999999999,21.934177215189873
0,2024-10-12 16:02:53.329168,0.34,0.22,0.12,0.02,18.106930693069305,9.395121951219512,15.299999999999997,19.54285714285714
0,2024-10-12 16:12:54.957856,0.34,0.22,0.13,0.02,14.514285714285714,11.005714285714285,12.884210526315789,22.8
0,2024-10-12 16:22:56.643132,0.34,0.22,0.14,0.01,14.067692307692308,9.876923076923077,12.447457627118645,20.385882352941174
0,2024-10-12 16:32:58.256371,0.34,0.21,0.15,0.01,9.939130434782607,10.005194805194805,12.447457627118645,22.310729613733905
0,2024-10-12 16:42:59.868722,0.33,0.2,0.16,0.01,11.151219512195121,8.656179775280897,13.6,23.207142857142856
0,2024-10-12 16:53:01.487107,0.33,0.2,0.16,0.01,11.016867469879518,7.407692307692307,13.6,22.8
0,2024-10-12 17:03:03.318758,0.33,0.19,0.17,0.01,13.546666666666667,7.479611650485436,14.399999999999999,24.872727272727275
0,2024-10-12 17:13:05.003628,0.32,0.19,0.17,0.01,20.32,7.0678899082568805,11.657142857142855,21.75062761506276
0,2024-10-12 17:23:07.250822,0.33,0.18,0.18,0.01,20.32,5.623357664233577,9.792,21.570124481327802
0,2024-10-12 17:33:08.862317,0.32,0.18,0.18,0.01,18.106930693069305,7.627722772277227,14.687999999999997,22.310729613733905
0,2024-10-12 17:43:10.686691,0.32,0.18,0.18,0.01,19.05,11.498507462686566,10.643478260869566,22.310729613733905
0,2024-10-12 17:53:12.349748,0.32,0.17,0.18,0.0,19.664516129032258,11.852307692307694,13.352727272727273,24.75428571428571
0,2024-10-12 18:03:14.071186,0.32,0.17,0.19,0.0,18.106930693069305,11.672727272727272,13.6,21.304918032786883
0,2024-10-12 18:13:15.874273,0.32,0.16,0.18,0.0,17.41714285714286,12.0375,13.352727272727273,23.416216216216213
0,2024-10-12 18:23:17.643519,0.31,0.16,0.18,0.0,21.26511627906977,11.852307692307694,11.84516129032258,24.405633802816904
0,2024-10-12 18:33:19.273392,0.31,0.16,0.18,0.0,20.32,11.672727272727272,11.127272727272725,22.406896551724138
0,2024-10-12 18:43:21.038455,0.31,0.15,0.18,0.0,17.41714285714286,11.672727272727272,12.66206896551724,25.607881773399015
0,2024-10-12 18:53:22.715573,0.31,0.16,0.18,0.0,15.24,9.17142857142857,13.114285714285714,25.991999999999997
0,2024-10-12 19:03:24.529955,0.31,0.16,0.17,0.0,17.929411764705883,8.465934065934066,10.961194029850745,26.38781725888325
0,2024-10-12 19:13:26.333548,0.31,0.15,0.17,0.0,16.184070796460176,8.373913043478261,13.856603773584904,25.113043478260867
0,2024-10-12 19:34:28.813691,0.31,0.16,0.17,0.0,17.929411764705883,8.95813953488372,13.856603773584904,27.504761904761903
0,2024-10-12 19:44:30.624873,0.31,0.16,0.17,0.0,17.755339805825244,8.656179775280897,11.84516129032258,26.254545454545454
0,2024-10-12 19:54:32.192836,0.31,0.16,0.17,0.0,17.252830188679248,9.51111111111111,11.657142857142855,24.405633802816904
0,2024-10-12 20:04:34.682727,0.31,0.16,0.17,0.0,18.106930693069305,7.627722772277227,11.657142857142855,27.651063829787233
0,2024-10-12 20:14:36.820212,0.31,0.16,0.17,0.0,16.933333333333334,7.627722772277227,11.475,25.862686567164175
0,2024-10-12 20:24:38.790367,0.3,0.16,0.17,0.0,18.85360824742268,11.329411764705881,8.742857142857142,28.88
